,index,datetime,balance,run_id,learned_from_specification_id
95,0,2021-12-30 23:00:00,46904.889077905515,5,3
96,0,2021-12-30 23:00:00,42134.51754589308,6,3
97,0,2021-12-30 23:00:00,52297.81086764266,7,3
98,0,2021-12-30 23:00:00,46935.621485830095,8,3
99,0,2021-12-30 23:00:00,56985.575281398465,9,3
100,0,2021-12-30 23:00:00,49077.152561929666,10,3
101,0,2021-12-30 23:00:00,48836.24092406375,11,3
102,0,2021-12-30 23:00:00,48096.31625721008,12,3
103,0,2021-12-30 23:00:00,57417.406956462524,13,3
104,0,2021-12-30 23:00:00,48394.181532231414,14,3
105,0,2021-12-30 23:00:00,44013.1083198349,15,3
106,0,2021-12-30 23:00:00,50572.518889284656,16,3
107,0,2021-12-30 23:00:00,52797.132613790076,17,3
108,0,2021-12-30 23:00:00,54025.79321746603,18,3
109,0,2021-12-30 23:00:00,53276.53889253161,19,3
110,0,2021-12-30 23:00:00,54341.18572719671,20,3
111,0,2021-12-30 23:00:00,50489.95303773779,21,3
112,0,2021-12-30 23:00:00,55900.345788080405,22,3
113,0,2021-12-30 23:00:00,52936.65335141867,23,3
114,0,2021-12-30 23:00:00,48235.192411316,24,3
115,0,2021-12-30 23:00:00,55169.33648966725,25,3
116,0,2021-12-30 23:00:00,52340.23595904405,26,3
117,0,2021-12-30 23:00:00,52430.40362846692,27,3
118,0,2021-12-30 23:00:00,50334.731177300644,28,3
119,0,2021-12-30 23:00:00,53300.2068956036,29,3
120,0,2021-12-30 23:00:00,84406.20463600096,0,4
121,0,2021-12-30 23:00:00,84730.6068379681,1,4
122,0,2021-12-30 23:00:00,77708.87053132674,2,4
123,0,2021-12-30 23:00:00,74291.78982816772,3,4
124,0,2021-12-30 23:00:00,80533.84436741516,4,4
125,0,2021-12-30 23:00:00,88209.91998974285,5,4
126,0,2021-12-30 23:00:00,83405.92186265676,6,4
127,0,2021-12-30 23:00:00,82819.66379014254,7,4
128,0,2021-12-30 23:00:00,81400.80991546098,8,4
129,0,2021-12-30 23:00:00,83286.61231215381,9,4
130,0,2021-12-30 23:00:00,78835.75098153978,10,4
131,0,2021-12-30 23:00:00,81782.54776844368,11,4
132,0,2021-12-30 23:00:00,78203.40895412792,12,4
133,0,2021-12-30 23:00:00,77953.38221237183,13,4
134,0,2021-12-30 23:00:00,78245.27659094156,14,4
135,0,2021-12-30 23:00:00,81030.28738008434,15,4
136,0,2021-12-30 23:00:00,77332.06135043399,16,4
137,0,2021-12-30 23:00:00,90872.76796980538,17,4
138,0,2021-12-30 23:00:00,79843.97503255281,18,4
139,0,2021-12-30 23:00:00,79001.20053894003,19,4
140,0,2021-12-30 23:00:00,74205.87871466852,20,4
141,0,2021-12-30 23:00:00,84932.7929616418,21,4
142,0,2021-12-30 23:00:00,82364.49950414864,22,4
143,0,2021-12-30 23:00:00,83822.0820883669,23,4
144,0,2021-12-30 23:00:00,82616.92013589447,24,4
145,0,2021-12-30 23:00:00,79321.55865157113,25,4
146,0,2021-12-30 23:00:00,74553.71111065673,26,4
147,0,2021-12-30 23:00:00,83900.94386792165,27,4
148,0,2021-12-30 23:00:00,80028.5874320076,28,4
149,0,2021-12-30 23:00:00,82786.76708811727,29,4
150,0,2021-12-30 23:00:00,108723.02544642208,0,5
151,0,2021-12-30 23:00:00,104479.45024998167,1,5
152,0,2021-12-30 23:00:00,105692.90644505959,2,5
153,0,2021-12-30 23:00:00,108245.06968558395,3,5
154,0,2021-12-30 23:00:00,115179.85311588385,4,5
155,0,2021-12-30 23:00:00,105794.50647815157,5,5
156,0,2021-12-30 23:00:00,116323.09234787329,6,5
157,0,2021-12-30 23:00:00,111444.0279902498,7,5
158,0,2021-12-30 23:00:00,113710.7421475018,8,5
159,0,2021-12-30 23:00:00,108129.80690808983,9,5
160,0,2021-12-30 23:00:00,118206.29891019856,10,5
161,0,2021-12-30 23:00:00,116498.16525886716,11,5
162,0,2021-12-30 23:00:00,109060.64292226947,12,5
163,0,2021-12-30 23:00:00,113957.7529985377,13,5
164,0,2021-12-30 23:00:00,105414.46867130177,14,5
165,0,2021-12-30 23:00:00,110853.78811815492,15,5
166,0,2021-12-30 23:00:00,104160.15497917074,16,5
167,0,2021-12-30 23:00:00,113962.58750157016,17,5
168,0,2021-12-30 23:00:00,119648.1405687506,18,5
169,0,2021-12-30 23:00:00,109965.53874250744,19,5
170,0,2021-12-30 23:00:00,115351.89607232393,20,5
171,0,2021-12-30 23:00:00,111067.97379463584,21,5
172,0,2021-12-30 23:00:00,115304.63390795603,22,5
173,0,2021-12-30 23:00:00,106279.73999752196,23,5
174,0,2021-12-30 23:00:00,112541.36154388332,24,5
175,0,2021-12-30 23:00:00,109651.55097097588,25,5
176,0,2021-12-30 23:00:00,114138.76810441987,26,5
177,0,2021-12-30 23:00:00,98653.33186772547,27,5
178,0,2021-12-30 23:00:00,106585.8603916488,28,5
179,0,2021-12-30 23:00:00,109619.48675167814,29,5
